$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
400B92,G-PSNI,Police Service of Northern Ireland,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
400F28,G-MPSA,National Police Air Service,Eurocopter EC145,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
400F29,G-MPSB,National Police Air Service,Eurocopter EC145,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
400F2A,G-MPSC,National Police Air Service,Eurocopter EC145,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
4010AC,G-EMID,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
401255,G-POLF,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4012C5,G-PSHU,Police Scotland,Eurocopter EC135 T2,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
404714,G-POLH,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
404715,G-POLC,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
40472C,G-POLU,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
40481E,G-POLG,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
40499A,G-POLB,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
404A2E,G-POLD,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
405F1D,G-SUFK,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
406100,G-DCPB,National Police Air Service,Eurocopter EC145,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
406176,G-HEOI,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4061E4,G-CPAO,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
406207,G-PSNO,Police Service of Northern Ireland,Eurocopter EC145 C-2,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
4062D2,G-POLA,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4062D8,G-TVHB,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
406343,G-NWOI,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
40639D,G-CPAS,National Police Air Service,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4064BD,G-CGTC,Police Service of Northern Ireland,BN Defender BN-2T-4S,BN2P,Pol,Utility,STOL,Twin Engine,Utility
4066D2,G-PSNR,Police Service of Northern Ireland,Eurocopter EC145 C-2,EC45,Pol,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
407083,G-POLS,Police Scotland,Eurocopter EC135,EC35,Pol,Utility,Light Lift,Rotorcraft,Helicopter - Utility
4077FB,G-POLX,National Police Air Service,Vulcanair P.68R,P68,Pol,ISR,Multi-Role,Twin Engine,Utility
4077FC,G-POLZ,National Police Air Service,Vulcanair P.68R,P68,Pol,ISR,Multi-Role,Twin Engine,Utility
4078A3,G-POLV,National Police Air Service,Vulcanair P.68R,P68,Pol,ISR,Multi-Role,Twin Engine,Utility
4078A4,G-POLW,National Police Air Service,Vulcanair P.68R,P68,Pol,ISR,Multi-Role,Twin Engine,Utility
